지역,구분,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
전국,활발함,1.025117635,3.263051383,3.091947935,1.616317132,1.552824997,1.992731317,1.081567804,1.287672344,1.478679939,1.268532797,1.710029524,1.503321004,0.839559644,0.273834954,0.090933194,0.044414,0.213041,0.101389,0.176996,0.307437,0.205796,0.115627,0.036889,0.015026,0.028181,0.0559961,0.081597269,0.12981125,0.52900814,0.19151619,0.24370742,0.36579413,0.71904165,0.38671107,0.58131622,0.67262472,0.25408198,0.09912714,0.05118328,0.20104588,0.20455144,0.41337769,0.36942535,0.20005559,0.80561248,1.72948687,1.11687583,0.51995395,0.38931416,0.24039261,0.1106295,0.12565184,0.45611442,1.55731339,0.89291815,0.67511814,3.1742832,0.47818432,0.23349306,0.95530513,2.80851084
전국,보통,13.86719897,20.2905439,23.14996228,17.9086277,18.14586597,17.25381357,12.99358934,13.60625544,15.04324171,12.73967584,14.44058762,14.21989307,11.3609215,6.357465023,4.126185718,3.138121,3.477852,4.409142,5.372308,5.303381,4.723749,2.716829,1.36704,1.46195,1.165594,2.204525131,1.216172989,2.37147437,7.07446887,7.7788399,7.54282289,8.87652075,10.82034362,10.11051076,11.31280889,15.79395567,11.98505176,7.168064,4.93253429,5.99252766,7.06269104,9.55508227,10.37462035,9.41461378,13.40320716,17.8389093,18.05488907,15.6769361,12.50172513,8.9221524,6.18671383,6.68967201,9.9275668,16.89521509,12.5037499,12.76589544,19.99883463,10.17271319,9.08427942,13.8478039,18.57495682
전국,한산함,85.10768339,76.44640472,73.75808979,80.47505517,80.30130903,80.75345511,85.92484286,85.10607222,83.47807835,85.99179136,83.84938285,84.27678592,87.79951886,93.36870002,95.78288109,96.817465,96.309108,95.489469,94.450696,94.389183,95.070455,97.167544,98.596071,98.523024,98.806225,97.73947877,98.70222974,97.49871438,92.39652299,92.0296439,92.21346969,90.75768512,88.46061473,89.50277818,88.10587489,83.5334196,87.76086626,92.73280886,95.01628243,93.80642646,92.73275751,90.03154004,89.2559543,90.38533063,85.79118036,80.43160383,80.8282351,83.80310994,87.10896071,90.83745499,93.70265668,93.18467615,89.61631878,81.54747152,86.60333196,86.55898642,76.82688217,89.34910249,90.68222752,85.19689096,78.61653234
전국,매매거래지수,15.91743424,26.81664666,29.33385815,21.14126196,21.25151596,21.2392762,15.15672494,16.18160012,18.00060159,15.27674144,17.86064667,17.22653508,13.04004079,6.90513493,4.308052106,3.22695,3.903933,4.61192,5.7263,5.918254,5.135341,2.948083,1.440819,1.492002,1.221955,2.316517331,1.379367526,2.63109687,8.13248515,8.16187229,8.03023772,9.608109,12.25842692,10.88393289,12.47544133,17.13920512,12.49321572,7.36631828,5.03490085,6.39461942,7.47179393,10.38183766,11.11347105,9.81472496,15.01443212,21.29788305,20.28864073,16.71684401,13.28035345,9.40293762,6.40797282,6.94097569,10.83979563,20.00984187,14.28958619,14.11613172,26.34740103,11.12908183,9.55126553,15.75841417,24.1919785
서울,활발함,0.0908069,0.273611868,0.882664782,1.709361435,0.813923572,0.373064328,0.291604727,0.688938938,0.930881774,0.930187488,0.826371194,0.843641636,0.362188107,0,0,0,0.398605,0,0.110369,0.340561,0.111953,0.071866,0,0,0.058608,0,0.037991541,0.13316689,0.39085637,0.07739832,0.2468483,0.38735473,0.50490584,0.39660583,0.67468722,0.67018082,0.06260841,0.10590234,0.09314504,0.17837897,0.10913105,0.22287158,0.69780612,0.66579651,2.34500712,5.14287684,2.6894082,0.71322502,0.30681441,0,0.06309549,0.22378253,1.1382419,7.1739418,0.73783587,1.42334857,11.15376512,0.21508622,0.40515621,2.21309588,7.63785352
서울,보통,6.489228622,12.41205792,18.52089269,17.5551489,16.39976433,10.65438355,8.664695649,11.54877262,13.35628296,12.24862174,12.71331147,9.901434014,6.958629643,3.002419444,2.110656103,1.548079,1.804383,2.199487,3.113385,3.285512,3.363172,0.742221,0.713519,0.847218,0.79277,0.888447983,0.396174712,1.35572292,5.50391802,5.03052414,5.8497708,7.32132768,11.51441689,11.66883708,12.35419602,15.9472553,10.16543697,4.36944691,3.52453497,3.97432207,4.95612341,7.2914811,12.71097731,13.14551011,21.17527289,35.34276735,33.48509471,21.20740761,13.13434509,9.73726106,6.27493211,7.49123707,13.79351633,28.34723136,14.79537049,17.91045011,35.05580591,9.00179737,7.76958215,19.44653454,29.49601506
서울,한산함,93.41996448,87.31433022,80.59644253,80.73548967,82.78631209,88.97255212,91.04369962,87.76228845,85.71283527,86.82119077,86.46031733,89.25492435,92.67918225,96.99758056,97.8893439,98.451921,97.797012,97.800513,96.776246,96.373927,96.524874,99.185914,99.286481,99.152782,99.148622,99.11155202,99.56583375,98.51111019,94.10522561,94.89207754,93.90338091,92.2913176,87.98067727,87.93455709,86.97111676,83.38256388,89.77195462,95.52465075,96.38231998,95.84729896,94.93474553,92.48564733,86.59121657,86.18869338,76.47971999,59.51435581,63.82549709,78.07936736,86.5588405,90.26273894,93.6619724,92.2849804,85.06824177,64.47882684,84.46679364,80.66620132,53.79042897,90.7831164,91.82526164,78.34036958,62.86613141
서울,매매거래지수,6.670842421,12.95928165,20.28622225,20.97387177,18.02761148,11.40051221,9.247905104,12.92665049,15.21804651,14.10899672,14.36605386,11.58871728,7.683005857,3.002419444,2.110656103,1.548079,2.601593,2.199487,3.334123,3.966634,3.587079,0.885952,0.713519,0.847218,0.909986,0.888447983,0.472157794,1.6220567,6.28563076,5.18532077,6.34346739,8.09603713,12.52422856,12.46204873,13.70357047,17.28761694,10.29065379,4.58125159,3.71082506,4.33108001,5.17438552,7.73722425,14.10658955,14.47710314,25.86528712,45.62852103,38.86391111,22.63385766,13.74797391,9.73726106,6.40112309,7.93880214,16.07000013,42.69511496,16.27104223,20.75714725,57.36333615,9.43196982,8.57989457,23.8727263,44.77172211
강북14개구,활발함,0,0.554929637,0.394762538,1.668061123,1.33649471,0.431038578,0.451167251,0.861677178,0.382640684,1.511377941,1.029149874,1.181385376,0.412857362,0,0,0,0.360744,0,0,0.332815,0,0,0,0,0.123588,0,0.080103257,0.28076188,0.66414698,0.16306893,0.36386081,0.69737182,0.70122365,0.48270637,0.78243771,0.91965696,0,0,0.19640602,0.13531968,0.10494906,0.1040919,0.97634087,0.55596679,2.52335263,2.83874706,2.55650119,0.72335128,0.41071998,0,0.13327422,0.17116737,0.42051041,5.65284867,0.42941727,1.22156801,10.96274462,0,0.28437768,1.87923066,8.55120044
강북14개구,보통,8.04501643,14.45286774,20.91991433,20.22839401,19.55011575,11.24651286,10.35470504,12.31768639,14.30774274,16.70841369,16.59418197,12.56932318,7.721820513,3.079251012,2.037902129,1.510547,1.553943,1.350077,3.743338,2.551531,3.550298,0.870144,0.150481,0.570599,0.484429,0.131261145,0.087433389,1.20818407,4.95740253,4.6491698,4.56037384,6.28847968,10.74513983,10.77918964,13.99141185,20.73039475,11.11107086,5.03582257,4.09126151,3.41234892,4.36729675,6.58549195,12.0169714,13.02911261,20.12432263,34.84028004,33.08601068,21.91350951,13.54912757,8.80267407,4.49647092,5.74420468,12.87228146,24.21501813,16.43726408,18.16622197,36.91891169,9.29663948,8.33810349,18.19063453,28.73478126
강북14개구,한산함,91.95498357,84.99220263,78.68532313,78.10354487,79.11338954,88.32244856,89.19412771,86.82063644,85.30961657,81.78020837,82.37666816,86.24929144,91.86532212,96.92074899,97.96209787,98.489453,98.085313,98.649923,96.256662,97.115654,96.449702,99.129856,99.849519,99.429401,99.391983,99.86873886,99.83246335,98.51105405,94.37845049,95.18776127,95.07576534,93.0141485,88.55363651,88.73810399,85.22615044,78.3499483,88.88892914,94.96417743,95.71233247,96.45233139,95.52775418,93.31041615,87.00668774,86.4149206,77.35232474,62.3209729,64.35748813,77.36313922,86.04015245,91.19732593,95.37025486,94.08462795,86.70720812,70.13213321,83.13331865,80.61221001,52.11834369,90.70336052,91.37751883,79.9301348,62.7140183
