지역,구분,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
전국,매수자많음,11.71367906,22.03297544,27.34388801,21.20058023,20.44791496,16.52463654,13.15016167,15.08366664,18.90370319,21.70074417,30.44962879,25.3586175,19.10785562,7.970127845,4.86904839,3.056816,3.393034,4.164615,4.999767,4.071499,3.567624,2.503934,1.546922,1.235554,1.191657,2.621669996,3.332835136,2.42469053,3.13117441,2.67867525,2.63277946,2.67608163,3.35574303,2.67607688,3.43016292,3.48504175,2.14611743,1.6569458,1.54532152,2.05114127,2.01178054,2.38915968,2.51184587,2.2420625,3.33405173,5.72634302,5.12507113,3.95935335,3.03209047,2.52513046,2.00957617,2.24703122,2.73975126,5.350766,3.2469559,3.87524167,8.98248641,2.86922374,3.13265338,5.49703353,9.51932798
전국,비슷함,50.4077195,46.24256503,48.76149143,54.16213897,57.85682388,55.83899349,57.71814018,55.09330119,56.75837055,58.115711,53.92747551,57.5888292,61.68031287,59.51495642,52.29132193,46.485517,43.322261,42.028201,41.466436,38.475586,32.961562,27.361718,24.094404,19.386132,16.773559,12.09852502,10.85671075,13.03046885,14.83561336,16.49428938,17.03383376,19.42912752,21.66480505,24.43423648,25.78244353,25.88269491,23.94322022,19.74832679,15.71762865,17.11538781,16.43249578,18.08559826,18.93923016,19.12766885,21.69045475,24.18222396,27.30130813,28.6137419,25.37459968,23.1330511,21.65559051,21.18487223,20.76915354,21.86454606,22.61089355,23.6110776,24.70150211,27.51959127,26.57497031,24.59467129,24.33833672
전국,매도자많음,37.87860145,31.72445953,23.89462056,24.6372808,21.69526115,27.63636997,29.13169816,29.82303218,24.33792626,20.18354483,15.6228957,17.0525533,19.21183151,32.51491574,42.83962968,50.457667,53.284705,53.807183,53.533797,57.452915,63.470814,70.134348,74.358674,79.378315,82.034784,85.27980498,85.81045411,84.54484062,82.03321223,80.82703537,80.33338677,77.89479085,74.97945191,72.88968664,70.78739355,70.63226334,73.91066235,78.59472741,82.73704983,80.83347092,81.55572368,79.52524206,78.54892398,78.63026865,74.97549353,70.09143303,67.57362073,67.42690475,71.59330985,74.34181844,76.33483332,76.56809656,76.49109519,72.78468794,74.14215055,72.51368072,66.31601148,69.61118498,70.29237631,69.90829519,66.1423353
전국,매수우위지수,73.83507761,90.30851591,103.4492674,96.56329943,98.75265381,88.88826657,84.01846351,85.26063446,94.56577693,101.5171993,114.8267331,108.3060642,99.89602411,75.45521211,62.02941871,52.599149,50.108329,50.357432,51.46597,46.618585,40.096811,32.369586,27.188248,21.857239,19.156873,17.34186501,17.52238102,17.87984991,21.09796217,21.85163988,22.29939269,24.78129078,28.37629112,29.78639024,32.64276937,32.85277841,28.23545508,23.06221839,18.80827169,21.21767035,20.45605686,22.86391761,23.96292189,23.61179385,28.3585582,35.63490999,37.5514504,36.53244859,31.43878062,28.18331202,25.67474285,25.67893466,26.24865607,32.56607805,29.10480534,31.36156095,42.66647493,33.25803876,32.84027707,35.58873834,43.37699267
서울,매수자많음,10.59282538,13.68660401,21.48598669,21.61092045,16.76480352,6.78950395,5.487469965,9.816265071,16.28302907,18.93965346,23.10941061,18.03737194,11.82945949,3.408928113,2.45809581,1.769587,2.10762,3.009948,3.806588,3.533111,2.145407,1.18439,1.15536,0.581707,1.117496,2.265794862,3.34135763,2.69672699,3.30706038,2.88022064,2.29291321,3.26688748,3.35172728,3.78453593,5.10448245,4.511318,3.24881356,1.59036632,1.64251099,2.17494924,2.17973881,2.31380951,3.08700489,3.08347957,8.26766738,16.50851241,13.4801629,6.3647335,3.21751483,2.80702084,2.33550291,2.20995044,5.24312267,18.36610909,5.10053148,9.81555732,30.49258487,4.39188004,5.01966038,13.99287964,28.85219477
서울,비슷함,65.76397372,64.04386338,65.37428334,64.80346248,70.67465241,68.38168818,69.33473257,67.5384212,66.37364488,65.40757881,65.85234084,70.17463474,72.82612891,60.0454744,49.71332547,52.086426,51.318783,49.856555,53.646948,52.631227,37.34274,30.642478,29.615518,23.689762,20.759931,15.41172013,13.79441805,15.51171462,18.5314585,20.98954908,23.64809447,25.70208535,27.10498453,30.46998284,35.78738818,32.38692042,30.39476101,22.91935793,17.43544334,21.93415632,21.25210615,25.09748281,26.81586673,25.88894497,30.53629141,34.93495014,41.80293281,45.02139446,39.20894382,34.84897479,32.11062336,31.01169472,33.71803729,32.63470134,41.32518485,39.97117757,34.12480282,46.43286462,41.76851885,39.04426123,37.7812689
서울,매도자많음,23.6432009,22.2695326,13.13972997,13.58561707,12.56054407,24.82880787,25.17779746,22.64531373,17.34332605,15.65276773,11.03824854,11.78799332,15.34441159,36.54559749,47.82857872,46.143986,46.573598,47.133497,42.546464,43.835662,60.511853,68.173131,69.229122,75.728532,78.122573,82.32248501,82.86422432,81.7915584,78.16148112,76.13023028,74.05899232,71.03102718,69.54328819,65.74548123,59.10812937,63.10176159,66.35642543,75.49027575,80.92204567,75.89089444,76.56815503,72.58870768,70.09712838,71.02757547,61.19604121,48.55653745,44.71690428,48.61387204,57.57354135,62.34400437,65.55387373,66.77835484,61.03884005,48.99918957,53.57428367,50.21326511,35.38261231,49.17525534,53.21182076,46.96285913,33.36653633
서울,매수우위지수,86.94962448,91.41707141,108.3462567,108.0253034,104.2042595,81.96069608,80.3096725,87.17095134,98.93970303,103.2868857,112.0711621,106.2493786,96.4850479,66.86333062,54.62951709,55.625601,55.534022,55.876451,61.260124,59.697449,41.633554,33.011259,31.926237,24.853175,22.994924,19.94330985,20.47713331,20.90516859,25.14557926,26.74999037,28.23392089,32.2358603,33.8084391,38.0390547,45.99635308,41.40955641,36.89238813,26.10009058,20.72046532,26.2840548,25.61158378,29.72510184,32.98987651,32.0559041,47.07162617,67.95197495,68.76325862,57.75086145,45.64397348,40.46301647,36.78162918,35.4315956,44.20428262,69.36691953,51.5262478,59.60229221,95.10997256,55.2166247,51.80783962,67.03002051,95.48565843
강북14개구,매수자많음,13.29764232,15.63310225,22.56029182,18.71762696,16.64557387,4.735712446,4.645565559,11.20203978,15.63027927,18.33212108,23.20329463,17.00480982,11.26996814,2.695203414,2.739842193,2.038686,1.978778,3.256453,3.653839,2.291109,1.717002,1.304613,0.897551,0.381594,0.486726,2.222657315,2.605267206,2.90142528,2.82746196,2.79601159,2.54634478,2.86430546,2.59573082,3.46600412,5.06175879,4.50238909,1.7090591,1.18056851,1.10675432,2.40264009,2.30446694,1.60474819,2.82521477,2.77730096,7.85606846,12.49157994,11.81931176,5.86348965,3.38462149,1.6425784,2.13657359,1.61310264,3.2005872,11.03947447,3.63643259,6.80086772,24.76841551,3.89067779,4.61385712,12.99750664,25.98506964
강북14개구,비슷함,63.59940974,61.11464571,63.73057911,64.37797955,69.16504692,65.36734971,68.35522755,63.2676345,66.02196931,63.57356358,62.9614249,69.70093535,70.09139736,57.36622991,45.41976901,55.097601,53.286836,52.687626,56.802809,54.74037,35.760022,28.718986,31.570483,21.051785,23.283223,16.64357239,15.27920248,14.60240622,17.43573157,17.60138857,20.45732618,21.99836471,23.2538916,26.41943955,29.72734874,24.81572893,25.43307512,18.33414661,13.72519598,19.27654251,17.33333299,21.36799546,22.29770134,22.56424094,26.52558112,35.91207683,42.0577232,43.06680389,38.72930735,33.3551128,29.90673795,27.8823274,30.84822605,34.32309788,37.01343658,38.27677347,35.04260924,42.82177778,36.49343567,34.38443194,36.18820353
