지역명,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
전국,80.33837,81.552806,82.948975,84.20777,85.687847,87.170534,88.417382,89.526341,91.217765,92.603555,94.440802,96.299362,97.56289,99.0651,99.684772,100,100.1630423,100.2664125,100.4603838,100.7119377,100.7524934,100.6778751,100.449869,100.2090617,99.46887127,98.05742198,96.56987343,94.72428703,93.62615437,92.48188788,91.42418589,90.64756509,90.32887832,90.08914318,90.01177215,90.08835539,90.17168199,90.17710363,90.0800219,89.94010615,89.84225563,89.6975767,89.50335268,89.3871793,89.30235376,89.30055751,89.40586765,89.56649158,89.66065394,89.66618072,89.58063016,89.44754664,89.32183359,89.2812854,89.30323838,89.31824642,89.45753094,89.6444765,89.67196406,89.76577479,90.01923144
서울,83.317194,84.599611,85.713205,87.087037,88.480024,89.658312,90.511797,91.423794,92.940974,94.132709,95.632642,97.251652,98.269239,99.309824,99.76751,100,100.0920081,100.1466631,100.2562984,100.4689667,100.6032851,100.6381353,100.4918613,100.2972065,99.62692713,98.21647968,96.80952136,94.78404736,93.64954379,92.55291811,91.65568645,90.85414053,90.59537961,90.38963268,90.33858458,90.57788476,90.78696527,90.82149118,90.72548663,90.55112453,90.4420433,90.30767506,90.15800198,90.1298384,90.24160607,90.74623745,91.55536061,92.35442711,92.81597908,93.08078407,93.30453816,93.36457417,93.42279964,94.02727119,94.95291214,95.53421345,96.89813634,98.14180688,98.72610043,99.53283334,100.9839048
강북14개구,82.291778,83.838583,85.02406,86.519254,88.069878,89.50191,90.535912,91.509314,93.064152,94.312529,95.946012,97.740142,98.648318,99.508518,99.826216,100,100.0542226,100.075298,100.149126,100.2730403,100.3367231,100.3255513,100.1341763,99.90905926,99.10950936,97.6128344,96.31656353,94.29298057,93.03027015,91.69206947,90.72387844,89.74936658,89.27137785,88.80602686,88.50327275,88.56457591,88.64611636,88.59942095,88.46923878,88.29514575,88.16638618,88.01619646,87.81936042,87.73858748,87.82214727,88.12133312,88.66446466,89.25658174,89.57906932,89.76226622,89.8946995,89.90673184,89.89432103,90.07823732,90.49935403,90.74005621,91.40939604,92.35782246,92.70446286,93.30908209,94.48047656
종로구,89.160284,89.779019,90.996841,91.872915,92.223422,92.356679,93.022317,93.557846,93.944073,94.792909,95.537157,96.809951,97.772039,99.186349,99.968425,100,100,100.0674764,100.3010356,100.9606578,101.312815,101.4375264,101.4114222,101.4002983,101.292555,101.0991958,100.9865608,100.8167117,100.6365243,99.50286106,97.65064274,97.03560379,97.12405687,97.19475295,97.30877419,97.51826033,97.66801152,97.82440091,97.84022803,97.74929113,97.72140046,97.57636186,97.63530567,97.54651117,97.80635133,98.36678209,98.81019407,99.2509363,99.30894471,99.36558313,99.46656569,99.52525425,99.5651307,100.1955182,101.6660364,102.0296667,102.5321161,102.9889254,103.178224,103.5373096,103.8068127
중구,85.395882,87.415331,88.525629,89.640704,91.991086,92.501204,93.371355,94.337162,95.171581,95.971468,96.469641,97.656688,98.310266,99.470324,99.917606,100,100,100,100.055475,100.1610485,100.2369295,100.3087781,100.2362899,100.173616,99.75400179,99.29324148,97.47844365,96.26299234,95.62456777,94.4746278,93.93337196,93.09180847,92.75544326,92.52313582,92.54635403,92.56033639,92.68199848,92.69736856,92.85074272,92.96142169,92.87552791,92.92459357,92.70725284,92.65191116,92.97154015,93.81307455,94.37253928,95.56163265,95.93558839,96.18425125,96.37419982,96.54389154,96.60645888,96.74134097,97.62536502,97.80878253,99.23737504,100.4857932,100.7946745,102.3517235,104.150153
용산구,83.523019,84.657725,85.20271,86.305987,87.21698,88.514577,89.461414,90.086128,91.405201,92.423665,94.17818,96.080452,97.02832,98.749604,99.639144,100,100.2344057,100.4362939,100.7027137,101.6835658,102.4127268,102.6204454,102.6682419,102.6662673,102.5304242,102.4630371,102.0410913,101.1342444,100.8471019,100.5488327,100.162964,99.37074097,98.78403573,98.25856726,98.14040063,98.41495562,98.74319012,99.27174038,99.5098201,99.39595514,99.37855824,99.23464057,99.44846655,99.54886035,99.99180919,100.7664732,101.5141982,102.1204122,102.6074937,103.1463245,103.5642976,103.7083136,103.9122314,105.0573253,106.9394138,107.5717578,109.7250496,111.8259616,112.7956,114.2486652,115.6670268
성동구,85.786738,86.987933,87.642058,89.468078,90.783484,91.657691,92.809534,93.181039,94.257851,94.835539,95.983338,98.165904,99.004686,99.630907,99.729209,100,100.2193068,100.4516976,100.4870353,100.614614,100.648705,100.6679216,100.7300094,100.6842568,100.4640871,99.12329982,98.0838107,95.77785971,94.11141181,92.27519125,91.50164486,90.90044452,90.66300626,90.39525501,90.51753052,90.92361998,91.23168897,91.44046369,91.50804649,91.43213888,91.38578987,91.36439417,91.54808372,91.72667778,92.21721509,93.70710431,94.87510451,95.9917321,96.98406285,97.42549571,97.79347171,97.92233452,98.09568677,98.94372827,100.555605,101.7153106,104.4455064,107.5340949,108.508454,110.1064491,114.4568953
광진구,87.800125,88.797437,89.829173,90.645228,91.455901,91.967178,92.297352,92.709186,93.552245,94.967682,96.436749,98.039996,98.25881,99.476352,99.834104,100,100.1261107,100.1930726,100.5774401,100.9640344,101.3080655,101.5066112,101.5742387,101.3271033,100.9695239,100.2931226,99.65729735,98.06978002,97.00873959,95.31176346,94.57408916,93.92536507,93.49696592,93.4779986,93.41558367,93.60061262,93.959341,94.11827776,94.12859051,94.12202915,94.03867413,93.96547939,93.87819869,93.8410606,94.05705581,94.71562416,96.26670432,97.40017341,98.09059366,98.60046494,98.82987044,98.90195772,98.99905513,99.37555039,100.5386063,101.2349234,103.1778605,106.0079238,107.1755098,108.8066522,113.6546966
동대문구,83.568732,84.943029,85.658354,87.273723,89.355156,90.674415,91.334385,92.154594,93.641249,94.618055,96.420537,97.968436,98.870208,99.73698,99.781732,100,99.90106245,99.84017396,100.0211678,100.0249641,100.1242487,99.89589532,99.84346096,99.63597826,98.7480209,96.49621116,94.96185189,92.72216709,91.32501418,90.32649574,89.22219026,88.18893939,87.78786632,87.37348132,87.18984,87.29288329,87.49073805,87.39276328,87.16558201,86.97608528,86.92389531,86.77160094,86.51135875,86.374008,86.30952158,86.78097809,87.6394357,88.40139229,88.65888518,88.84883412,89.06316144,89.16152482,89.11818919,89.31364509,89.5306435,89.68084808,90.10063829,90.72069707,90.95313816,91.61368837,92.8719787
중랑구,83.165931,84.67704,85.803315,86.257965,87.536876,88.693288,89.506049,90.332578,91.93637,93.463297,95.413655,97.043808,98.325678,99.365742,99.918253,100,100.0816173,100.0816173,100.1318558,100.178379,100.2831019,100.3349696,100.3349696,100.325233,100.0199924,99.19037702,98.48091849,97.55771552,96.90580763,95.94051201,94.78418915,93.31918655,92.21505606,91.62369374,91.06691892,90.86126511,90.45627838,90.06401857,89.8931162,89.51943619,89.38816297,89.18958459,88.23391393,87.88422555,87.91393101,88.03714158,88.19741652,88.37659453,88.43006843,88.51839072,88.42906956,88.37991619,88.35817682,88.30447339,88.26681659,88.37163842,88.51977829,88.66571524,88.7290886,88.97498963,89.15985575
성북구,84.112317,85.511212,86.867387,88.513602,89.628864,91.224701,92.018543,92.305205,93.612706,94.85238,96.275536,98.076898,99.190769,99.814425,99.897155,100,99.92868792,99.79881573,99.86613577,99.8132301,99.72855647,99.59992134,99.23690328,99.0042249,98.25908365,95.78330654,94.32483422,91.82054893,90.79986272,89.47876372,88.06690761,86.84804176,86.42193812,85.93898271,85.62631034,85.85894717,85.9512964,86.06024205,85.8672075,85.76480069,85.6915626,85.5825773,85.49466506,85.32585584,85.36772382,85.89793826,86.70064089,87.56562611,87.99702904,88.0776736,88.20230594,88.18677921,88.1389349,88.18377889,88.29302013,88.47992079,88.81086679,89.31560581,89.45218967,89.89867426,90.58210048
강북구,82.870482,84.415153,85.923495,86.684283,87.933901,89.176246,90.2033,91.73547,93.082016,94.460128,95.767701,97.498995,98.593058,99.215628,99.804382,100,100.1432102,100.147584,100.2584772,100.3497458,100.5543798,100.5993203,100.559954,100.5357993,99.84183943,98.53484364,96.97400032,95.41298181,92.77583654,91.62604981,90.66333204,89.75861785,89.26486032,88.83377266,88.69497831,88.74922515,88.90327876,88.92639019,88.65608576,88.30227318,88.22869865,87.99026571,87.61128183,87.19838182,87.04779811,86.39079152,86.69209664,86.97362052,87.06443287,87.18399236,87.21076537,87.19132042,87.16596484,87.12440977,87.09675966,87.05610864,87.14291562,87.56279969,87.64117175,87.85759471,88.01381027
